epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1636988804644,2021-11-15T10:06:44.644,51.430,98882.859
1636988804779,2021-11-15T10:06:44.779,51.565,98880.367
1636988804915,2021-11-15T10:06:44.915,51.701,98876.359
1636988805052,2021-11-15T10:06:45.052,51.838,98875.234
1636988805186,2021-11-15T10:06:45.186,51.972,98875.602
1636988805323,2021-11-15T10:06:45.323,52.109,98881.156
1636988805457,2021-11-15T10:06:45.457,52.243,98878.484
1636988805594,2021-11-15T10:06:45.594,52.380,98879.250
1636988805730,2021-11-15T10:06:45.730,52.516,98879.031
1636988805865,2021-11-15T10:06:45.865,52.651,98879.250
1636988806001,2021-11-15T10:06:46.001,52.787,98880.000
1636988806137,2021-11-15T10:06:46.137,52.923,98879.250
1636988806272,2021-11-15T10:06:46.272,53.058,98877.328
1636988806408,2021-11-15T10:06:46.408,53.194,98879.461
1636988806544,2021-11-15T10:06:46.544,53.330,98881.922
1636988806679,2021-11-15T10:06:46.679,53.465,98878.484
1636988806815,2021-11-15T10:06:46.815,53.601,98878.672
1636988806950,2021-11-15T10:06:46.950,53.736,98877.695
1636988807086,2021-11-15T10:06:47.086,53.872,98877.906
1636988807223,2021-11-15T10:06:47.223,54.009,98882.133
1636988807357,2021-11-15T10:06:47.357,54.143,98879.250
1636988807494,2021-11-15T10:06:47.494,54.280,98880.000
1636988807630,2021-11-15T10:06:47.630,54.416,98878.125
1636988807765,2021-11-15T10:06:47.765,54.551,98875.453
1636988807901,2021-11-15T10:06:47.901,54.687,98878.125
1636988808036,2021-11-15T10:06:48.036,54.822,98880.984
1636988808172,2021-11-15T10:06:48.172,54.958,98876.789
1636988808308,2021-11-15T10:06:48.308,55.094,98876.969
1636988808443,2021-11-15T10:06:48.443,55.229,98877.547
1636988808579,2021-11-15T10:06:48.579,55.365,98879.641
1636988808715,2021-11-15T10:06:48.715,55.501,98876.969
1636988808850,2021-11-15T10:06:48.850,55.636,98879.641
1636988808986,2021-11-15T10:06:48.986,55.772,98885.781
1636988809122,2021-11-15T10:06:49.122,55.908,98880.430
1636988809257,2021-11-15T10:06:49.257,56.043,98879.641
1636988809393,2021-11-15T10:06:49.393,56.179,98879.641
1636988809528,2021-11-15T10:06:49.528,56.314,98879.859
1636988809664,2021-11-15T10:06:49.664,56.450,98874.508
1636988809801,2021-11-15T10:06:49.801,56.587,98875.844
1636988809935,2021-11-15T10:06:49.935,56.721,98881.195
1636988810072,2021-11-15T10:06:50.072,56.858,98881.195
1636988810208,2021-11-15T10:06:50.208,56.994,98877.391
1636988810343,2021-11-15T10:06:50.343,57.129,98879.281
1636988810479,2021-11-15T10:06:50.479,57.265,98878.516
1636988810615,2021-11-15T10:06:50.615,57.401,98877.188
1636988810750,2021-11-15T10:06:50.750,57.536,98879.492
1636988810886,2021-11-15T10:06:50.886,57.672,98880.070
1636988811022,2021-11-15T10:06:51.022,57.808,98877.938
1636988811157,2021-11-15T10:06:51.157,57.943,98873.938
1636988811293,2021-11-15T10:06:51.293,58.079,98876.242
1636988811428,2021-11-15T10:06:51.428,58.214,98876.063
1636988811564,2021-11-15T10:06:51.564,58.350,98882.742
1636988811701,2021-11-15T10:06:51.701,58.487,98885.414
1636988811835,2021-11-15T10:06:51.835,58.621,98880.070
1636988811972,2021-11-15T10:06:51.972,58.758,98879.703
1636988812108,2021-11-15T10:06:52.108,58.894,98878.734
1636988812244,2021-11-15T10:06:52.244,59.030,98873.391
1636988812379,2021-11-15T10:06:52.379,59.165,98873.570
1636988812515,2021-11-15T10:06:52.515,59.301,98877.578
1636988812650,2021-11-15T10:06:52.650,59.436,98878.734
1636988812786,2021-11-15T10:06:52.786,59.572,98876.063
1636988812921,2021-11-15T10:06:52.921,59.707,98875.695
1636988813057,2021-11-15T10:06:53.057,59.843,98873.023
1636988813193,2021-11-15T10:06:53.193,59.979,98882.375
1636988813328,2021-11-15T10:06:53.328,60.114,98881.594
1636988813464,2021-11-15T10:06:53.464,60.250,98881.039
1636988813600,2021-11-15T10:06:53.600,60.386,98880.469
1636988813735,2021-11-15T10:06:53.735,60.521,98879.703
1636988813871,2021-11-15T10:06:53.871,60.657,98878.914
1636988814008,2021-11-15T10:06:54.008,60.794,98882.563
1636988814142,2021-11-15T10:06:54.142,60.928,98885.234
1636988814279,2021-11-15T10:06:54.279,61.065,98886.570
1636988814415,2021-11-15T10:06:54.415,61.201,98881.227
1636988814550,2021-11-15T10:06:54.550,61.336,98877.219
1636988814686,2021-11-15T10:06:54.686,61.472,98879.344
1636988814822,2021-11-15T10:06:54.822,61.608,98880.469
1636988814957,2021-11-15T10:06:54.957,61.743,98878.000
1636988815093,2021-11-15T10:06:55.093,61.879,98879.891
1636988815228,2021-11-15T10:06:55.228,62.014,98882.375
1636988815364,2021-11-15T10:06:55.364,62.150,98879.344
1636988815500,2021-11-15T10:06:55.500,62.286,98885.445
1636988815635,2021-11-15T10:06:55.635,62.421,98879.344
1636988815771,2021-11-15T10:06:55.771,62.557,98878.766
